width 900
height 600
score 0
spaceship 450.0,300.0,90,0
fuel 100
asteroids_count 1
asteroid_large 150.0,300.0,0,0
bullets_count 0
upcoming_asteroids_count 49
upcoming_asteroid_large 127.0,295.0,10,1
upcoming_asteroid_small 128.0,555.0,247,2
upcoming_asteroid_small 599.0,142.0,228,3
upcoming_asteroid_small 598.0,89.0,32,4
upcoming_asteroid_small 325.0,122.0,133,5
upcoming_asteroid_large 505.0,190.0,44,6
upcoming_asteroid_small 64.0,492.0,29,7
upcoming_asteroid_large 739.0,485.0,277,8
upcoming_asteroid_large 844.0,477.0,48,9
upcoming_asteroid_small 644.0,190.0,347,10
upcoming_asteroid_large 217.0,94.0,198,11
upcoming_asteroid_large 832.0,211.0,118,12
upcoming_asteroid_large 681.0,374.0,311,13
upcoming_asteroid_large 778.0,189.0,245,14
upcoming_asteroid_large 696.0,238.0,0,15
upcoming_asteroid_small 647.0,85.0,261,16
upcoming_asteroid_small 691.0,134.0,129,17
upcoming_asteroid_large 425.0,284.0,201,18
upcoming_asteroid_large 366.0,83.0,27,19
upcoming_asteroid_large 247.0,254.0,211,20
upcoming_asteroid_small 653.0,257.0,47,21
upcoming_asteroid_small 800.0,499.0,307,22
upcoming_asteroid_small 57.0,439.0,151,23
upcoming_asteroid_small 606.0,268.0,338,24
upcoming_asteroid_small 466.0,406.0,21,25
upcoming_asteroid_small 606.0,479.0,155,26
upcoming_asteroid_large 630.0,526.0,258,27
upcoming_asteroid_large 182.0,278.0,109,28
upcoming_asteroid_large 594.0,196.0,65,29
upcoming_asteroid_large 428.0,30.0,21,30
upcoming_asteroid_large 18.0,324.0,289,31
upcoming_asteroid_small 721.0,597.0,74,32
upcoming_asteroid_small 728.0,17.0,258,33
upcoming_asteroid_large 752.0,185.0,238,34
upcoming_asteroid_large 166.0,381.0,159,35
upcoming_asteroid_large 167.0,474.0,205,36
upcoming_asteroid_small 530.0,90.0,335,37
upcoming_asteroid_large 434.0,333.0,65,38
upcoming_asteroid_small 94.0,217.0,211,39
upcoming_asteroid_small 569.0,545.0,46,40
upcoming_asteroid_large 554.0,423.0,241,41
upcoming_asteroid_small 141.0,206.0,70,42
upcoming_asteroid_small 297.0,365.0,193,43
upcoming_asteroid_small 27.0,538.0,177,44
upcoming_asteroid_large 534.0,145.0,146,45
upcoming_asteroid_large 467.0,177.0,161,46
upcoming_asteroid_large 776.0,504.0,182,47
upcoming_asteroid_small 797.0,136.0,185,48
upcoming_asteroid_large 843.0,496.0,193,49
