width 900
height 600
score 0
spaceship 450.0,300.0,90,0
fuel 400
asteroids_count 9
asteroid_large 786.0,371.0,175,0
asteroid_small 33.0,216.0,14,1
asteroid_small 186.0,14.0,233,2
asteroid_large 113.0,79.0,15,3
asteroid_small 494.0,425.0,147,4
asteroid_large 251.0,96.0,65,5
asteroid_large 807.0,72.0,287,6
asteroid_small 30.0,482.0,215,7
asteroid_small 563.0,423.0,266,8
bullets_count 0
upcoming_asteroids_count 91
upcoming_asteroid_small 244.0,103.0,162,9
upcoming_asteroid_small 787.0,312.0,345,10
upcoming_asteroid_large 169.0,90.0,95,11
upcoming_asteroid_small 580.0,330.0,80,12
upcoming_asteroid_small 259.0,317.0,317,13
upcoming_asteroid_small 213.0,434.0,349,14
upcoming_asteroid_small 490.0,325.0,267,15
upcoming_asteroid_small 101.0,452.0,218,16
upcoming_asteroid_large 851.0,96.0,342,17
upcoming_asteroid_small 458.0,158.0,248,18
upcoming_asteroid_large 367.0,452.0,4,19
upcoming_asteroid_large 337.0,393.0,336,20
upcoming_asteroid_large 880.0,230.0,231,21
upcoming_asteroid_large 327.0,142.0,176,22
upcoming_asteroid_large 649.0,94.0,224,23
upcoming_asteroid_small 722.0,516.0,70,24
upcoming_asteroid_large 812.0,286.0,285,25
upcoming_asteroid_large 534.0,123.0,20,26
upcoming_asteroid_small 388.0,513.0,265,27
upcoming_asteroid_small 140.0,96.0,66,28
upcoming_asteroid_small 116.0,398.0,288,29
upcoming_asteroid_large 699.0,275.0,124,30
upcoming_asteroid_small 373.0,508.0,175,31
upcoming_asteroid_small 885.0,144.0,269,32
upcoming_asteroid_large 291.0,385.0,311,33
upcoming_asteroid_small 799.0,47.0,304,34
upcoming_asteroid_large 670.0,195.0,149,35
upcoming_asteroid_large 109.0,379.0,138,36
upcoming_asteroid_large 794.0,412.0,332,37
upcoming_asteroid_small 559.0,413.0,306,38
upcoming_asteroid_small 148.0,525.0,331,39
upcoming_asteroid_small 861.0,432.0,339,40
upcoming_asteroid_large 153.0,307.0,115,41
upcoming_asteroid_small 207.0,29.0,121,42
upcoming_asteroid_small 755.0,25.0,306,43
upcoming_asteroid_large 130.0,8.0,194,44
upcoming_asteroid_large 250.0,360.0,49,45
upcoming_asteroid_large 374.0,351.0,303,46
upcoming_asteroid_large 502.0,541.0,313,47
upcoming_asteroid_small 204.0,499.0,120,48
upcoming_asteroid_large 73.0,40.0,220,49
upcoming_asteroid_small 318.0,212.0,331,50
upcoming_asteroid_large 24.0,98.0,172,51
upcoming_asteroid_small 198.0,468.0,192,52
upcoming_asteroid_small 583.0,371.0,187,53
upcoming_asteroid_small 858.0,408.0,98,54
upcoming_asteroid_small 119.0,292.0,252,55
upcoming_asteroid_large 102.0,145.0,182,56
upcoming_asteroid_large 784.0,570.0,267,57
upcoming_asteroid_small 624.0,193.0,164,58
upcoming_asteroid_large 59.0,558.0,222,59
upcoming_asteroid_large 777.0,459.0,293,60
upcoming_asteroid_small 799.0,103.0,217,61
upcoming_asteroid_large 294.0,446.0,7,62
upcoming_asteroid_small 585.0,329.0,296,63
upcoming_asteroid_small 22.0,214.0,23,64
upcoming_asteroid_large 6.0,581.0,324,65
upcoming_asteroid_small 87.0,456.0,168,66
upcoming_asteroid_large 456.0,330.0,159,67
upcoming_asteroid_small 77.0,310.0,20,68
upcoming_asteroid_small 838.0,183.0,77,69
upcoming_asteroid_small 251.0,572.0,39,70
upcoming_asteroid_large 542.0,15.0,173,71
upcoming_asteroid_small 562.0,3.0,181,72
upcoming_asteroid_large 879.0,544.0,299,73
upcoming_asteroid_large 735.0,33.0,51,74
upcoming_asteroid_small 424.0,512.0,79,75
upcoming_asteroid_small 11.0,146.0,226,76
upcoming_asteroid_small 806.0,493.0,18,77
upcoming_asteroid_small 414.0,578.0,167,78
upcoming_asteroid_small 615.0,6.0,224,79
upcoming_asteroid_small 293.0,92.0,59,80
upcoming_asteroid_large 273.0,345.0,330,81
upcoming_asteroid_small 185.0,289.0,272,82
upcoming_asteroid_small 563.0,506.0,85,83
upcoming_asteroid_large 638.0,109.0,156,84
upcoming_asteroid_large 193.0,472.0,66,85
upcoming_asteroid_large 192.0,350.0,93,86
upcoming_asteroid_large 801.0,248.0,190,87
upcoming_asteroid_small 594.0,371.0,170,88
upcoming_asteroid_small 188.0,236.0,227,89
upcoming_asteroid_small 197.0,452.0,284,90
upcoming_asteroid_small 534.0,250.0,98,91
upcoming_asteroid_small 169.0,588.0,227,92
upcoming_asteroid_large 107.0,451.0,220,93
upcoming_asteroid_small 14.0,298.0,198,94
upcoming_asteroid_small 321.0,350.0,196,95
upcoming_asteroid_small 341.0,434.0,166,96
upcoming_asteroid_small 212.0,360.0,198,97
upcoming_asteroid_large 258.0,36.0,134,98
upcoming_asteroid_large 344.0,114.0,57,99
