width 920
height 720
score 0
spaceship 50.0,300.0,0,0
fuel 450
asteroids_count 15
asteroid_large 181.0,149.0,145,0
asteroid_small 196.0,799.0,31,1
asteroid_large 593.0,404.0,291,2
asteroid_large 464.0,900.0,296,3
asteroid_large 534.0,564.0,95,4
asteroid_large 49.0,1054.0,184,5
asteroid_small 186.0,1087.0,140,6
asteroid_large 721.0,931.0,73,7
asteroid_large 240.0,432.0,268,8
asteroid_large 555.0,1095.0,104,9
asteroid_large 658.0,752.0,136,10
asteroid_small 409.0,5.0,314,11
asteroid_small 244.0,452.0,155,12
asteroid_small 248.0,953.0,35,13
asteroid_small 41.0,665.0,62,14
bullets_count 0
upcoming_asteroids_count 85
upcoming_asteroid_large 467.0,833.0,146,15
upcoming_asteroid_small 893.0,312.0,39,16
upcoming_asteroid_large 51.0,502.0,306,17
upcoming_asteroid_large 822.0,120.0,28,18
upcoming_asteroid_small 790.0,510.0,122,19
upcoming_asteroid_large 619.0,960.0,68,20
upcoming_asteroid_large 241.0,876.0,106,21
upcoming_asteroid_small 713.0,360.0,22,22
upcoming_asteroid_large 472.0,310.0,200,23
upcoming_asteroid_small 10.0,952.0,58,24
upcoming_asteroid_large 894.0,108.0,331,25
upcoming_asteroid_small 301.0,715.0,253,26
upcoming_asteroid_large 344.0,642.0,168,27
upcoming_asteroid_large 952.0,618.0,61,28
upcoming_asteroid_large 858.0,652.0,118,29
upcoming_asteroid_small 968.0,197.0,349,30
upcoming_asteroid_small 593.0,509.0,85,31
upcoming_asteroid_small 763.0,182.0,135,32
upcoming_asteroid_large 701.0,629.0,19,33
upcoming_asteroid_large 648.0,749.0,246,34
upcoming_asteroid_large 73.0,365.0,5,35
upcoming_asteroid_small 406.0,806.0,203,36
upcoming_asteroid_large 291.0,797.0,310,37
upcoming_asteroid_large 438.0,412.0,118,38
upcoming_asteroid_large 160.0,700.0,226,39
upcoming_asteroid_large 370.0,579.0,154,40
upcoming_asteroid_small 811.0,462.0,142,41
upcoming_asteroid_small 256.0,183.0,186,42
upcoming_asteroid_small 841.0,492.0,347,43
upcoming_asteroid_small 409.0,854.0,331,44
upcoming_asteroid_small 306.0,737.0,91,45
upcoming_asteroid_small 580.0,706.0,358,46
upcoming_asteroid_small 873.0,516.0,266,47
upcoming_asteroid_small 870.0,48.0,111,48
upcoming_asteroid_small 445.0,292.0,299,49
upcoming_asteroid_small 244.0,351.0,140,50
upcoming_asteroid_small 134.0,132.0,278,51
upcoming_asteroid_large 877.0,164.0,177,52
upcoming_asteroid_large 51.0,690.0,349,53
upcoming_asteroid_small 76.0,178.0,265,54
upcoming_asteroid_large 659.0,354.0,32,55
upcoming_asteroid_large 156.0,462.0,122,56
upcoming_asteroid_large 286.0,6.0,148,57
upcoming_asteroid_large 991.0,520.0,164,58
upcoming_asteroid_small 221.0,101.0,304,59
upcoming_asteroid_small 177.0,857.0,235,60
upcoming_asteroid_small 669.0,435.0,203,61
upcoming_asteroid_large 414.0,349.0,61,62
upcoming_asteroid_large 931.0,928.0,24,63
upcoming_asteroid_large 329.0,27.0,278,64
upcoming_asteroid_large 612.0,700.0,71,65
upcoming_asteroid_large 464.0,778.0,170,66
upcoming_asteroid_large 843.0,577.0,35,67
upcoming_asteroid_small 159.0,933.0,177,68
upcoming_asteroid_small 873.0,92.0,107,69
upcoming_asteroid_small 731.0,186.0,186,70
upcoming_asteroid_large 720.0,622.0,249,71
upcoming_asteroid_small 715.0,808.0,308,72
upcoming_asteroid_large 406.0,382.0,87,73
upcoming_asteroid_large 933.0,450.0,268,74
upcoming_asteroid_large 222.0,655.0,202,75
upcoming_asteroid_large 305.0,302.0,87,76
upcoming_asteroid_small 512.0,817.0,221,77
upcoming_asteroid_large 882.0,129.0,120,78
upcoming_asteroid_large 928.0,91.0,324,79
upcoming_asteroid_small 869.0,526.0,115,80
upcoming_asteroid_large 503.0,544.0,43,81
upcoming_asteroid_large 470.0,883.0,100,82
upcoming_asteroid_small 20.0,510.0,179,83
upcoming_asteroid_small 960.0,929.0,29,84
upcoming_asteroid_large 429.0,518.0,141,85
upcoming_asteroid_large 995.0,989.0,262,86
upcoming_asteroid_small 173.0,981.0,167,87
upcoming_asteroid_small 215.0,280.0,188,88
upcoming_asteroid_small 519.0,50.0,40,89
upcoming_asteroid_small 283.0,118.0,110,90
upcoming_asteroid_small 493.0,721.0,17,91
upcoming_asteroid_large 35.0,83.0,123,92
upcoming_asteroid_small 994.0,632.0,123,93
upcoming_asteroid_large 913.0,436.0,128,94
upcoming_asteroid_small 726.0,17.0,284,95
upcoming_asteroid_large 231.0,846.0,95,96
upcoming_asteroid_large 245.0,855.0,1,97
upcoming_asteroid_large 901.0,98.0,190,98
upcoming_asteroid_large 865.0,459.0,257,99
