width 2000
height 1500
score 0
spaceship 1000.0,300.0,180,0
fuel 650
asteroids_count 15
asteroid_large 1456.0,270.0,92,0
asteroid_small 670.0,54.0,11,1
asteroid_small 1674.0,242.0,26,2
asteroid_small 1102.0,708.0,219,3
asteroid_small 1117.0,639.0,9,4
asteroid_small 998.0,304.0,305,5
asteroid_small 1942.0,258.0,329,6
asteroid_large 1186.0,32.0,338,7
asteroid_small 396.0,9.0,354,8
asteroid_small 1645.0,102.0,279,9
asteroid_large 1302.0,1418.0,268,10
asteroid_small 433.0,558.0,73,11
asteroid_small 890.0,1014.0,83,12
asteroid_small 1734.0,1319.0,255,13
asteroid_small 483.0,240.0,45,14
bullets_count 0
upcoming_asteroids_count 85
upcoming_asteroid_small 166.0,1078.0,244,15
upcoming_asteroid_large 994.0,400.0,5,16
upcoming_asteroid_large 1732.0,606.0,306,17
upcoming_asteroid_large 1144.0,771.0,100,18
upcoming_asteroid_large 1873.0,729.0,35,19
upcoming_asteroid_large 622.0,185.0,218,20
upcoming_asteroid_small 1860.0,142.0,128,21
upcoming_asteroid_small 604.0,261.0,206,22
upcoming_asteroid_small 1003.0,430.0,92,23
upcoming_asteroid_large 613.0,637.0,343,24
upcoming_asteroid_large 227.0,954.0,60,25
upcoming_asteroid_large 431.0,986.0,4,26
upcoming_asteroid_small 697.0,504.0,92,27
upcoming_asteroid_small 1644.0,827.0,290,28
upcoming_asteroid_small 100.0,272.0,123,29
upcoming_asteroid_small 1177.0,472.0,341,30
upcoming_asteroid_small 620.0,987.0,135,31
upcoming_asteroid_small 1309.0,1346.0,21,32
upcoming_asteroid_small 565.0,1473.0,30,33
upcoming_asteroid_small 705.0,908.0,208,34
upcoming_asteroid_large 1188.0,1235.0,45,35
upcoming_asteroid_large 513.0,1063.0,105,36
upcoming_asteroid_small 696.0,1012.0,315,37
upcoming_asteroid_small 698.0,1491.0,105,38
upcoming_asteroid_large 839.0,1377.0,96,39
upcoming_asteroid_large 1433.0,1289.0,168,40
upcoming_asteroid_small 1379.0,1147.0,307,41
upcoming_asteroid_small 1634.0,500.0,149,42
upcoming_asteroid_small 913.0,385.0,312,43
upcoming_asteroid_large 1503.0,1279.0,153,44
upcoming_asteroid_small 42.0,414.0,125,45
upcoming_asteroid_large 634.0,348.0,353,46
upcoming_asteroid_large 537.0,756.0,66,47
upcoming_asteroid_large 1103.0,1472.0,342,48
upcoming_asteroid_large 35.0,905.0,302,49
upcoming_asteroid_small 85.0,1445.0,263,50
upcoming_asteroid_large 1669.0,5.0,74,51
upcoming_asteroid_large 1719.0,1175.0,152,52
upcoming_asteroid_large 1031.0,489.0,87,53
upcoming_asteroid_large 1047.0,352.0,5,54
upcoming_asteroid_small 1725.0,86.0,190,55
upcoming_asteroid_small 610.0,291.0,128,56
upcoming_asteroid_large 1883.0,141.0,297,57
upcoming_asteroid_small 238.0,684.0,65,58
upcoming_asteroid_large 360.0,1119.0,79,59
upcoming_asteroid_small 1018.0,186.0,183,60
upcoming_asteroid_large 1832.0,8.0,138,61
upcoming_asteroid_large 129.0,648.0,165,62
upcoming_asteroid_small 1652.0,1041.0,106,63
upcoming_asteroid_small 590.0,1304.0,7,64
upcoming_asteroid_small 385.0,1127.0,11,65
upcoming_asteroid_small 1603.0,1376.0,335,66
upcoming_asteroid_small 1038.0,400.0,274,67
upcoming_asteroid_large 602.0,1199.0,219,68
upcoming_asteroid_large 1538.0,1388.0,87,69
upcoming_asteroid_small 1616.0,870.0,313,70
upcoming_asteroid_large 1459.0,277.0,341,71
upcoming_asteroid_small 1264.0,1019.0,194,72
upcoming_asteroid_large 375.0,136.0,322,73
upcoming_asteroid_small 823.0,871.0,312,74
upcoming_asteroid_small 1804.0,102.0,125,75
upcoming_asteroid_large 515.0,1442.0,47,76
upcoming_asteroid_large 1881.0,1207.0,333,77
upcoming_asteroid_large 206.0,232.0,134,78
upcoming_asteroid_large 179.0,237.0,181,79
upcoming_asteroid_small 236.0,1202.0,176,80
upcoming_asteroid_small 1903.0,566.0,61,81
upcoming_asteroid_large 1616.0,825.0,64,82
upcoming_asteroid_small 1342.0,401.0,60,83
upcoming_asteroid_small 1650.0,824.0,278,84
upcoming_asteroid_large 205.0,1425.0,162,85
upcoming_asteroid_large 1206.0,939.0,190,86
upcoming_asteroid_small 1618.0,1257.0,206,87
upcoming_asteroid_large 1198.0,241.0,102,88
upcoming_asteroid_large 650.0,367.0,162,89
upcoming_asteroid_large 1567.0,403.0,69,90
upcoming_asteroid_small 275.0,596.0,133,91
upcoming_asteroid_small 1318.0,366.0,204,92
upcoming_asteroid_small 1288.0,45.0,64,93
upcoming_asteroid_small 642.0,770.0,320,94
upcoming_asteroid_small 175.0,898.0,64,95
upcoming_asteroid_small 1488.0,154.0,174,96
upcoming_asteroid_small 932.0,550.0,79,97
upcoming_asteroid_small 267.0,4.0,166,98
upcoming_asteroid_small 113.0,218.0,172,99
